name,emoji_unicode,average_color
👠,U+1F460,153 10 10
👌,U+1F44C,252 183 10
💃,U+1F483,191 69 10
🐙,U+1F419,243 100 100
🦫,U+1F9AB,162 125 100
🍱,U+1F371,147 129 100
🙉,U+1F649,186 138 100
🥬,U+1F96C,93 167 100
🔂,U+1F502,2371166 0
💵,U+1F4B5,113 175 100
🦨,U+1F9A8,101 101 101
🏟,U+1F3DF,60 60 60
🏑,U+1F3D1,171 157 101
🚲,U+1F6B2,200 166 101
📩,U+1F4E9,214 196 205
🩺,U+1FA7A,100 90 148
🧵,U+1F9F5,65 100 255
🧅,U+1F9C5,247 198 102
🈲,U+1F232,250 50 50
🧖,U+1F9D6,194 163 103
😷,U+1F637,226 181 103
👕,U+1F455,99 182 103
🧤,U+1F9E4,184 90 211
🚒,U+1F692,197 105 104
🍳,U+1F373,70 60 108
🧌,U+1F9CC,134 128 104
🍞,U+1F35E,220 160 104
🐣,U+1F423,234 216 104
🙋,U+1F64B,255 177 0
⛰,U+26F0,30 30 30
🏏,U+1F3CF,222 143 105
🍮,U+1F36E,187 148 105
🔋,U+1F50B,146 187 105
⛽,U+26FD,162 98 105
🥌,U+1F94C,141 106 106
🧙,U+1F9D9,138 122 106
🙈,U+1F648,193 142 106
👰,U+1F470,183 149 106
🤽,U+1F93D,149 150 106
🈵,U+1F235,223 108 107
🍤,U+1F364,221 190 107
🧶,U+1F9F6,222 76 107
🦸,U+1F9B8,140 99 107
🪸,U+1FAB8,237 130 108
🦘,U+1F998,208 158 108
💰,U+1F4B0,229 178 108
🍌,U+1F34C,235 210 108
🧕,U+1F9D5,136 70 108
👭,U+1F46D,134 81 108
🦅,U+1F985,147 124 109
🪰,U+1FAB0,101 108 110
👮,U+1F46E,122 119 110
🍣,U+1F363,228 119 110
🙊,U+1F64A,199 148 110
🍢,U+1F362,205 168 110
🐶,U+1F436,221 177 110
🧭,U+1F9ED,212 180 110
🤶,U+1F936,229 162 111
🥠,U+1F960,231 190 111
🙅,U+1F645,134 83 111
🚓,U+1F693,112 112 112
🏫,U+1F3EB,209 178 113
👄,U+1F444,194 80 114
🦮,U+1F9AE,228 187 115
🦹,U+1F9B9,71 61 115
🤕,U+1F915,221 190 116
🎫,U+1F3AB,250 194 60
